sample_id,premise,hypothesis,n_agents,m_examples,label,vote_mean,vote_majority
6252,A kid bored in a train with brown hair and his head lying down.,A child is riding the train from New York to Boston.,1,1,1,1,1
6252,A kid bored in a train with brown hair and his head lying down.,A child is riding the train from New York to Boston.,3,1,1,1,1
6252,A kid bored in a train with brown hair and his head lying down.,A child is riding the train from New York to Boston.,5,1,1,1,1
6252,A kid bored in a train with brown hair and his head lying down.,A child is riding the train from New York to Boston.,9,1,1,1,1
6252,A kid bored in a train with brown hair and his head lying down.,A child is riding the train from New York to Boston.,15,1,1,1,1
6252,A kid bored in a train with brown hair and his head lying down.,A child is riding the train from New York to Boston.,1,4,1,1,1
6252,A kid bored in a train with brown hair and his head lying down.,A child is riding the train from New York to Boston.,3,4,1,1,1
6252,A kid bored in a train with brown hair and his head lying down.,A child is riding the train from New York to Boston.,5,4,1,1,1
6252,A kid bored in a train with brown hair and his head lying down.,A child is riding the train from New York to Boston.,9,4,1,1,1
6252,A kid bored in a train with brown hair and his head lying down.,A child is riding the train from New York to Boston.,15,4,1,1,1
6252,A kid bored in a train with brown hair and his head lying down.,A child is riding the train from New York to Boston.,1,8,1,1,1
6252,A kid bored in a train with brown hair and his head lying down.,A child is riding the train from New York to Boston.,3,8,1,1,1
6252,A kid bored in a train with brown hair and his head lying down.,A child is riding the train from New York to Boston.,5,8,1,1,1
6252,A kid bored in a train with brown hair and his head lying down.,A child is riding the train from New York to Boston.,9,8,1,1,1
6252,A kid bored in a train with brown hair and his head lying down.,A child is riding the train from New York to Boston.,15,8,1,1,1
6252,A kid bored in a train with brown hair and his head lying down.,A child is riding the train from New York to Boston.,1,16,1,1,1
6252,A kid bored in a train with brown hair and his head lying down.,A child is riding the train from New York to Boston.,3,16,1,1,1
6252,A kid bored in a train with brown hair and his head lying down.,A child is riding the train from New York to Boston.,5,16,1,1,1
6252,A kid bored in a train with brown hair and his head lying down.,A child is riding the train from New York to Boston.,9,16,1,1,1
6252,A kid bored in a train with brown hair and his head lying down.,A child is riding the train from New York to Boston.,15,16,1,1,1
6252,A kid bored in a train with brown hair and his head lying down.,A child is riding the train from New York to Boston.,1,32,1,1,1
6252,A kid bored in a train with brown hair and his head lying down.,A child is riding the train from New York to Boston.,3,32,1,1,1
